,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
264,Dumbbell Bulgarian Split Squat,Dumbbell Bulgarian Split Squats,,Legs,Quadriceps,Glutes,Dumbbell,Bulgarian split squats using dumbbells for unilateral leg strength and balance.,"1. Hold a dumbbell in each hand at your sides, 2. Position one leg behind you on a bench, 3. Lower your body by bending your front knee, 4. Push through your front heel to return to the starting position, 5. Repeat on the other leg."
265,Dumbbell Sumo Squat,Dumbbell Wide-Stance Squats,Sumo Squats with DB,Legs,Adductors,Glutes,Dumbbell,"Wide stance squats with a dumbbell to target the inner thighs, glutes, and quads.","1. Hold a dumbbell with both hands between your legs, 2. Stand with your feet wider than shoulder-width apart and toes pointed outward, 3. Lower your body into a squat by bending your knees, 4. Push through your heels to return to standing, 5. Repeat."
266,Dumbbell Step Up,Dumbbell Step Ups,Dumbbell Step Ups,Legs,Quadriceps,Glutes,Dumbbell,Step-ups using dumbbells to strengthen the legs and glutes while enhancing balance.,"1. Hold a dumbbell in each hand at your sides, 2. Step up onto a bench or platform with one leg, 3. Drive through your heel to bring the other leg up, 4. Step down with the same leg, 5. Repeat with the other leg."
267,Dumbbell Split Squat,Dumbbell Split Squats,Weighted Split Squats (DB),Legs,Quadriceps,Glutes,Dumbbell,"Split squats using dumbbells held at the sides to strengthen the quads, glutes, and hamstrings while focusing on unilateral leg strength.","1. Hold a dumbbell in each hand at your sides, 2. Position one leg behind you 3. Lower your body by bending your front knee, 4. Push through your front heel to return to the starting position"
268,Dumbbell Russian Twist,Dumbbell Russian Twist,DB Twisting Core Rotations,Obliques,Abs,,Dumbbell,A variation of the Russian twist using a dumbbell to target the obliques and core by twisting the torso side to side while seated.,"1. Sit on the floor with your knees bent and feet flat, 2. Hold a dumbbell with both hands, 3. Lean back slightly and twist your torso from side to side, 4. Touch the dumbbell to the ground next to your hip on each side, 5. Repeat."
269,Dumbbell Scaption,Dumbbell Y Raises,DB Diagonal Shoulder Raise,Rotator Cuff,Traps,,Dumbbell,Lifting dumbbells in a 30-45 degree angle from the torso (in the scapular plane) to strengthen the deltoids and shoulder stabilizers.,"1. Hold a dumbbell in each hand at your sides, 2. Raise your arms in front of you at a 30-degree angle, 3. Continue raising the dumbbells until your arms are parallel to the ground, 4. Lower back down, 5. Repeat."
270,Dumbbell Shoulder Press (Standing),Standing Dumbbell Press,Overhead DB Press (Standing),Shoulders,Triceps,,Dumbbell,Pressing dumbbells overhead from shoulder height while standing to strengthen the shoulders and triceps.,"1. Stand with a dumbbell in each hand at shoulder height, 2. Press the dumbbells overhead until your arms are fully extended, 3. Lower the dumbbells back to shoulder height, 4. Repeat."
271,Dumbbell Shoulder Press (Single Arm),One-Arm Dumbbell Shoulder Press,Unilateral DB Shoulder Press,Shoulders,Triceps,,Dumbbell,"Overhead pressing one dumbbell at a time while standing, adding a core stabilization challenge.","1. Stand with a dumbbell in one hand at shoulder height, 2. Press the dumbbell overhead until your arm is fully extended, 3. Lower the dumbbell back to shoulder height, 4. Repeat with the other arm."
272,Dumbbell Shoulder Press (Seated),Seated Dumbbell Overhead Press,Seated DB Military Press,Shoulders,Triceps,,Dumbbell,Performing a dumbbell shoulder press while seated to isolate the shoulders and reduce momentum.,"1. Sit on a bench with a dumbbell in each hand at shoulder height, 2. Press the dumbbells overhead until your arms are fully extended, 3. Lower the dumbbells back to shoulder height, 4. Repeat."
273,Dumbbell Arnold Press,Arnold Shoulder Press,DB Front-to-Overhead Press,Shoulders,Triceps,,Dumbbell,Rotational overhead press targeting all heads of the deltoids.,"1. Sit or stand with a dumbbell in each hand, palms facing you, 2. Press the dumbbells overhead, rotating your palms forward as you lift, 3. Lower the dumbbells back down and rotate your palms back towards you, 4. Repeat."
274,Dumbbell Arnold Press (Seated),Seated Arnold Press,Bench Arnold Shoulder Press,Shoulders,Triceps,,Dumbbell,Seated version of the Arnold Press emphasizing strict shoulder strength.,"1. Sit on a bench with a dumbbell in each hand, palms facing you, 2. Press the dumbbells overhead, rotating your palms forward as you lift, 3. Lower the dumbbells back down and rotate your palms back towards you, 4. Repeat."
275,Dumbbell Arnold Press (Single Arm),Unilateral Arnold Shoulder Press,One-Arm Arnold Press,Shoulders,Triceps,,Dumbbell,Single-arm version of Arnold Press for unilateral shoulder development.,"1. Sit or stand with a dumbbell in one hand, palm facing you, 2. Press the dumbbell overhead, rotating your palm forward as you lift, 3. Lower the dumbbell back down and rotate your palm back towards you, 4. Repeat with the other arm."
276,Dumbbell Lateral Raise,DB Side Lateral Raises,Dumbbell Side Raises,Shoulders,Rotator Cuff,Traps,Dumbbell,Raises dumbbells sideways to target the lateral deltoids.,"1. Stand with a dumbbell in each hand at your sides, 2. Raise your arms out to the sides until they are parallel to the ground, 3. Lower back down, 4. Repeat."
277,Dumbbell Lateral Raise (Single Arm),One-Arm Lateral Raise,Unilateral Lateral Raise,Shoulders,Rotator Cuff,Traps,Dumbbell,Single-arm lateral raises isolating one shoulder at a time.,"1. Stand with a dumbbell in one hand at your side, 2. Raise your arm out to the side until it is parallel to the ground, 3. Lower back down, 4. Repeat with the other arm."
278,Dumbbell Front Raise,Front Shoulder Raise (DB),,Shoulders,Chest,Traps,Dumbbell,Lifts dumbbells straight forward to strengthen the front shoulders.,"1. Stand with a dumbbell in each hand at your sides, 2. Raise both dumbbells straight in front of you until they are parallel to the ground, 3. Lower the dumbbells back down, 4. Repeat."
279,Dumbbell Front Raise (Single Arm),One-Arm Front Raise,Unilateral Front Raise,Shoulders,Chest,Traps,Dumbbell,Single-arm front raise focusing on anterior deltoid strength.,"1. Stand with a dumbbell in one hand at your side, 2. Raise the dumbbell straight in front of you until it is parallel to the ground, 3. Lower the dumbbell back down, 4. Repeat with the other arm."
280,Dumbbell Cuban Press,Cuban Rotation with DB,Standing Cable Overhead Press,Shoulders,Rotator Cuff,,Dumbbell,Dumbbell rotation to press movement targeting rotator cuff and shoulders.,"1. Hold a dumbbell in each hand at shoulder height, 2. Rotate your arms outward, 3. Press the dumbbells overhead while keeping your elbows bent at 90 degrees, 4. Lower the dumbbells back to shoulder height, 5. Repeat."
281,Dumbbell Shrug,Dumbbell Shrug,DB Shoulder Shrug,Traps,Upper Back,,Dumbbell,Lifting shoulders upward while holding dumbbells to work traps.,"1. Hold a dumbbell in each hand at your sides, 2. Shrug your shoulders up towards your ears, 3. Lower your shoulders back down, 4. Repeat."
282,Dumbbell Skullcrusher,Dumbbell Lying Tricep Extension,Dumbbell Skull Crusher,Triceps,Shoulders,Rotator Cuff,Dumbbell,Lying tricep exercise lowering dumbbells toward the forehead.,"1. Lie on a bench with a dumbbell in each hand, palms facing each other, 2. Lower the dumbbells to your forehead by bending your elbows, 3. Extend your arms back up to the starting position, 4. Repeat."
283,Dumbbell Skullcrusher (Single Arm),Single Arm Dumbbell Skullcrusher,One-Arm DB Tricep Extension,Triceps,Shoulders,Rotator Cuff,Dumbbell,One-arm version of skullcrushers isolating tricep strength.,"1. Lie on a bench with a dumbbell in one hand, 2. Lower the dumbbell to your forehead by bending your elbow, 3. Extend your arm back up to the starting position, 4. Repeat with the other arm."
284,Dumbbell Overhead Tricep Extension,Dumbbell Overhead Tricep Press,Overhead Dumbbell Tricep Press,Triceps,Shoulders,,Dumbbell,Lifting and lowering dumbbells overhead to strengthen triceps.,"1. Hold a dumbbell with both hands above your head, elbows bent, 2. Lower the dumbbell behind your head by bending your elbows, 3. Extend your arms back up, 4. Repeat."
285,Dumbbell Tricep Kickback (Single Arm),Single Arm DB Kickbacks,Unilateral Dumbbell Tricep Kickback,Triceps,Shoulders,,Dumbbell,Bending over and extending one dumbbell backward to isolate the tricep.,"1. Hold a dumbbell in one hand, bend your knees slightly, and hinge forward, 2. Extend your arm back while keeping your elbow stationary, 3. Return to the starting position"
286,Dumbbell Bent Over Row,DB Single Arm Bent Over Row,Single Arm Dumbbell Bent Over Row,Upper Back,Lats,Biceps,Dumbbell,Bend at the hips and pull dumbbells toward your sides to build back muscles.,"1. Stand with your feet shoulder-width apart, holding a dumbbell in each hand, 2. Bend your knees slightly and hinge forward, 3. Row the dumbbells towards your torso, squeezing your shoulder blades together, 4. Slowly return to the starting position, 5. Repeat."
287,Dumbbell Bent Over Row (Single Arm),,,Upper Back,Lats,Biceps,Dumbbell,One-arm version pulling a dumbbell toward your waist while bent over.,"1. Place one knee and hand on a bench, 2. Hold a dumbbell with your free hand, 3. Row the dumbbell towards your torso, squeezing your shoulder blades together, 4. Slowly return to the starting position, 5. Repeat with the other arm."
288,Dumbbell Reverse Fly,DB Rear Delt Fly,Reverse Dumbbell Fly,Upper Back,Shoulders,Rotator Cuff,Dumbbell,Moving dumbbells outward in a bent-over position to focus on the rear delts and upper back.,"1. Stand with your feet shoulder-width apart, holding a dumbbell in each hand, 2. Bend your knees slightly and hinge at the hips, 3. With a slight bend in your elbows, raise the dumbbells out to the sides, squeezing your shoulder blades together, 4. Slowly return to the starting position, 5. Repeat."
289,Dumbbell Reverse Fly (Singe Arm),Single Arm Dumbbell Reverse Fly,One Arm DB Reverse Fly,Upper Back,Shoulders,Rotator Cuff,Dumbbell,A one-arm version of the reverse fly to isolate each rear shoulder and back.,"1. Stand with your feet shoulder-width apart, holding a dumbbell in one hand, 2. Bend your knees slightly and hinge forward at the hips, 3. With a slight bend in your elbow, raise the dumbbell to the side, 4. Slowly return to the starting position, 5. Repeat with the other arm."
290,Dumbbell Squat to Press,DB Squat & Overhead Press,,,,,Dumbbell,Performing a squat followed by an overhead press with dumbbells.,"1. Hold a dumbbell in each hand at shoulder height, 2. Perform a squat by lowering your body down, 3. As you stand up, press the dumbbells overhead, 4. Lower the dumbbells back to shoulders and repeat."
291,Dumbbell Clean to Press,Dumbbell Power Clean & Press,DB Clean and Jerk,,,,Dumbbell,"Cleaning dumbbells up to the shoulders, then pressing overhead.","1. Start with dumbbells in front of your thighs, 2. Perform a clean by lifting the dumbbells to shoulder height, 3. From the clean position, press the dumbbells overhead, 4. Lower back to the starting position and repeat."
292,Dumbbell Squat to Curl to Press,DB Complex Movement,,,,,Dumbbell,"Combining a squat, a bicep curl, and an overhead press into one fluid movement.","1. Hold a dumbbell in each hand at your sides, 2. Perform a squat, 3. As you stand, curl the dumbbells to your shoulders, 4. Press the dumbbells overhead, 5. Lower back to the starting position and repeat."
293,Dumbbell Step Ups to Shoulder Press,Weighted Step Up with Press,,,,,Dumbbell,Stepping up onto a box and pressing weights overhead at the top.,"1. Hold a dumbbell in each hand at shoulder height, 2. Step onto a bench or platform with one foot, 3. As you step up, press the dumbbells overhead, 4. Lower back down and repeat on the other side."
294,Dumbbell Curls To Shoulder Press,Curl to Press,,,,,Dumbbell,Performing a bicep curl that transitions into a shoulder press.,"1. Hold a dumbbell in each hand at your sides, 2. Curl the dumbbells to your shoulders, 3. Press the dumbbells overhead, 4. Lower them back to your shoulders and then your sides, 5. Repeat."
295,Dumbbell Lunge to Shoulder Press,DB Lunge with Press,,,,,Dumbbell,Lunging forward and pressing dumbbells overhead simultaneously.,"1. Hold a dumbbell in each hand at shoulder height, 2. Step forward into a lunge, 3. As you stand up, press the dumbbells overhead, 4. Lower the dumbbells back to shoulder height and repeat on the other side."
296,Dumbbell Lunge to Curls to Shoulder Press,,,,,,Dumbbell,"A full-body combo of a lunge, curl, and overhead press.","1. Hold a dumbbell in each hand at your sides, 2. Step forward into a lunge, 3. As you lunge, curl the dumbbells to your shoulders, 4. Press the dumbbells overhead, 5. Lower back to the starting position and repeat on the other side."
